Collection_No	Collection_Date	Genus	Species	Race	Sex	General_Notes	WildOrReared	Collection_No	Collection_Site	Dept._Province	Country	Latitude	Longitude	Altitude	Collector	Collection_Notes	IsWild
7161	1/8/1997	Heliconius	erato	petiverana			Wild	7161	Rio Calovebra		Panama						wild
7162	1/8/1997	Heliconius	erato	petiverana			Wild	7162	Rio Calovebra		Panama						wild
7163	1/8/1997	Heliconius	erato	petiverana			Wild	7163	Rio Calovebra		Panama						wild
7164	1/8/1997	Heliconius	erato	petiverana			Wild	7164	Rio Calovebra		Panama						wild
7165	1/8/1997	Heliconius	erato	petiverana			Wild	7165	Rio Calovebra		Panama						wild
7166	1/8/1997	Heliconius	sara	fulgidus			Wild	7166	Rio Calovebra		Panama						wild
7167	1/8/1997	Heliconius	sara	fulgidus			Wild	7167	Rio Calovebra		Panama						wild
7168	1/8/1997	Heliconius	erato	petiverana			Wild	7168	Rio Calovebra		Panama						wild
7169	1/8/1997	Heliconius	erato	petiverana			Wild	7169	Rio Calovebra		Panama						wild
7170	1/8/1997	Heliconius	sara	fulgidus			Wild	7170	Rio Calovebra		Panama						wild
7171	1/8/1997	Heliconius	erato	hybrid?		lacks yellow hindwing band	Wild	7171	Rio Calovebra		Panama					lacks yellow hindwing band	wild
7172	1/8/1997	Heliconius	erato	petiverana			Wild	7172	Rio Calovebra		Panama						wild
7173	1/8/1997	Heliconius	erato	petiverana			Wild	7173	Rio Calovebra		Panama						wild
7174	1/8/1997	Heliconius	erato	petiverana			Wild	7174	Rio Calovebra		Panama						wild
7175	1/8/1997	Heliconius	erato	petiverana	m		Wild	7175	"Bahia Azul, Quebrada larga"		Panama	9.143611111	-81.87055556			2004-04-05 Changed LATLON from 81’52’14’’N 9’08’37’’W to decimal values	wild
7176	1/8/1997	Heliconius	erato	petiverana	f		Wild	7176	"Bahia Azul, Quebrada larga"		Panama	9.143611111	-81.87055556			2004-04-05 Changed LATLON from 81’52’14’’N 9’08’37’’W to decimal values	wild
7177	1/8/1997	Heliconius	erato	hybrid?		lacks yellow hind wing band	Wild	7177	"Bahia Azul, Quebrada larga"		Panama	9.143611111	-81.87055556			lacks yellow hind wing band; 2004-04-05 Changed LATLON from 81’52’14’’N 9’08’37’’W to decimal values	wild
7178	1/8/1997	Heliconius	erato	petiverana			Wild	7178	"Bahia Azul, Quebrada larga"		Panama	9.143611111	-81.87055556			2004-04-05 Changed LATLON from 81’52’14’’N 9’08’37’’W to decimal values	wild
7179	1/8/1997	Heliconius	sara	fulgidus	m		Wild	7179	"Rio Robalo, Laguna de Chiriqui"		Panama						wild
7180	1/8/1997	Heliconius	phaetusa				Wild	7180	"Rio Robalo, Laguna de Chiriqui"		Panama						wild
7181	1/8/1997	Lycorea	cleobaea			DANAINAE	Wild	7181	"Rio Robalo, Laguna de Chiriqui"		Panama					DANAINAE	wild
7182	1/8/1997	Heliconius	erato	petiverana			Wild	7182	"Rio Robalo, Laguna de Chiriqui"		Panama						wild
7183	1/8/1997	Heliconius	erato	petiverana	f		Wild	7183	"Rio Robalo, Laguna de Chiriqui"		Panama						wild
C11	2/28/1998	Heliconius	melpomene	melpomene	f		Wild	C11	Virgen de Chiraja-near Gayabetal (just after shrine towards Villavicencio)		Colombia						wild
C12	2/28/1998	Heliconius	melpomene	melpomene	f		Wild	C12	Virgen de Chiraja-near Gayabetal (just after shrine towards Villavicencio)		Colombia						wild
C128		Heliconius	melpomene	vulcanus	m	Nic please fix this date - it said 5/06/1902	Wild	C128	Rio Bravo- a long road		Colombia						wild
C1384		Heliconius	melpomene	melpomene	f	NNic please fix this date - it said 3/11/1903	Wild	C1384	La Victorie (Sablance)		French Guyana						wild
C140		Heliconius	erato	chestertonii	f	Nic please fix this date - it said 5/06/1902	Wild	C140	Rio Bravo- a long road		Colombia						wild
C1652	3/31/1999	Heliconius	melpomene	rosina	f		Wild	C1652	Beyond pipeline road		Panama						wild
C171		Heliconius	erato	chestertonii	f	Nic please fix this date - it said 5/07/1902	Wild	C171	Yotoco-  just outside reserve		Colombia						wild
C1852		Heliconius	melpomene	rosina	f	no date	Wild	C1852			Panama						wild
C188		Heliconius	erato	chestertonii	m	Nic please fix this date - it said 5/07/1902	Wild	C188	Near Calima Reservoir		Colombia						wild
C189		Heliconius	erato	chestertonii	m	Nic please fix this date - it said 5/07/1902	Wild	C189	Alto Los Cedros-near calima reservoir-on left turn past Puntatierra on the way towards Buenaventura		Colombia						wild
C20	2/28/1998	Heliconius	erato		m		Wild	C20	Virgen de Chiraja-near Gayabetal (just after shrine towards Villavicencio)		Colombia						wild
C201		Heliconius	erato	chestertonii	f	Nic please fix this date - it said 5/07/1902	Wild	C201	Yocoto just outside reserve		Colombia						wild
C206		Heliconius	erato	chestertonii	f	Nic please fix this date - it said 5/04/1902	Wild	C206	Atuncela		Colombia						wild
C207		Heliconius	erato	chestertonii	m	Nic please fix this date - it said 5/07/1902	Wild	C207	Alto Los Cedros-near Calima resorvorio-on the left turn past Puntetierra on the way towards Buenaventura		Colombia						wild
C214		Heliconius	erato	chestertonii	f	Nic please fix this date - it said 5/04/1902	Wild	C214	Atuncela		Colombia						wild
C2397		Heliconius	melpomene	plesseni	m	no date	Wild	C2397	Puyo Valley		Ecuador						wild
C2404		Heliconius	melpomene	plesseni	m	no date	Wild	C2404	Puyo Valley		Ecuador						wild
C2417		Heliconius	melpomene	ecuadoriensis	f	no date	Wild	C2417	Zamora		Ecuador						wild
C2429		Heliconius	melpomene	plesseni	f	no date	Wild	C2429	Puyo Valley coll by Nic Flanagan		Ecuador						wild
C2430		Heliconius	melpomene	ecuadoriensis	m	no date	Wild	C2430	zamora coll by Nic Flanagan		Ecuador						wild
C2432		Heliconius	melpomene	ecuadoriensis	f	no date	Wild	C2432	zamora coll by Nic Flanagan		Ecuador						wild
C255	4/18/1998	Heliconius	erato	demophoon?	m		Wild	C255	Parcela 33 Villeta-Guaduas 23.6 km		Colombia						wild
C256	4/18/1998	Heliconius	erato	hydara	m		Wild	C256	Parcela 33 Villeta-Guaduas 23.6 km		Colombia						wild
C259	4/17/1998	Heliconius	melpomene	melpomene	m		Wild	C259	Mariquita Reserve		Colombia						wild
C313	5/25/1998	Heliconius	erato	erato	m		Wild	C313	Roura to Kaw Mountains-18.3 km		French Guyana						wild
C347	5/21/1998	Heliconius	erato	erato	f		Wild	C347	"near caco,coll. Phillipe, Souleur"		French Guyana						wild
C348	5/21/1998	Heliconius	erato	erato	f		Wild	C348	"Cacao, cayenne, 9.9 km"		French Guyana						wild
C349	5/21/1998	Heliconius	erato	erato	m		Wild	C349	"Cacao, cayenne, 9.9 km"		French Guyana						wild
C351	5/21/1998	Heliconius	erato	erato	m		Wild	C351	"Cacao, cayenne, 9.9 km"		French Guyana						wild
C353	5/23/1998	Heliconius	melpomene	melpomene	m		Wild	C353	Crique yiyi  - Kourou - St. Laurent		French Guyana						wild
C398	5/28/1998	Heliconius	melpomene	melpomene	m		Wild	C398	Pointe Macouria		French Guyana						wild
C403	5/28/1998	Heliconius	melpomene	melpomene	m		Wild	C403	Sablance - Rout N1 km 19		French Guyana						wild
C420	5/29/1998	Heliconius	erato	hydara	f		Wild	C420	Pointe Macouria		French Guyana						wild
C421		Heliconius	melpomene	melpomene	f	Nic please fix this date - it said 7/08/1902	Wild	C421	Parcela 33 Villeta - Guaduas 23.6 km		Colombia						wild
C422		Heliconius	melpomene	melpomene	f	Nic please fix this date - it said 7/08/1902	Wild	C422	Parcela 33 Villeta - Guaduas 23.6 km		Colombia						wild
C440	5/30/1998	Heliconius	erato	hydara	m		Wild	C440	Sablance Route N1 km 19		French Guyana						wild
C442	5/30/1998	Heliconius	erato	hydara	m		Wild	C442	Sablance Route N1 km 19		French Guyana						wild
C444	5/30/1998	Heliconius	erato	hydara	m		Wild	C444	Sablance Route N1 km 19		French Guyana						wild
C447	5/30/1998	Heliconius	erato	hydara	m		Wild	C447	Sablance Route N1 km 19		French Guyana						wild
C454		Heliconius	erato	hydara	f	Nic please fix this date - it said 7/08/1902	Wild	C454	Parcela 33 Villeta - Guaduas 23.6 km		Colombia						wild
