Collection_No	Collection_Date	Genus	Species	Race	Sex	General_Notes	WildOrReared	Collection_No	Collection_Site	Dept._Province	Country	Latitude	Longitude	Altitude	Collector	Collection_Notes	IsWild
FG353	11/3/2000	Heliconius	wallacei?		Male	Released successfully into GH!	Wild	FG353	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG354	11/3/2000	Heliconius	wallacei?		Unknown	Released successfully into GH!	Wild	FG354	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG355	11/3/2000	Heliconius	wallacei?		Female	Released successfully into GH!	Wild	FG355	Grande Santi au Kanut Tani Creek in Surinam accross from  Kanut Tani	St. Laurent du Maroni	French Guiana	4.586333333	54.42211667	39.0144	Released successfully into GH!	"DDK, WOM, CREW"	wild
FG36	10/28/2000	Heliconius	wallacei		Male	was dead before it was preserved	Wild	FG36	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048	was dead before it was preserved	"DDK, WOM"	wild
FG37	10/28/2000	Heliconius	large tiger		Male		Wild	FG37	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048		"DDK, WOM"	wild
FG38	10/28/2000	Heliconius	large tiger		Male		Wild	FG38	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048		"DDK, WOM"	wild
FG39	10/28/2000	Heliconius	sara		Female		Wild	FG39	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048		"DDK, WOM"	wild
FG4	10/27/2000	Heliconius	sara		Unknown		Wild	FG4	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Above Cacao @ access interdit"	Cayenne	French Guiana	4.5392	52.47388333	53.9496		"DDK, WOM"	wild
FG40	10/28/2000	Heliconius	sara		Female		Wild	FG40	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048		"DDK, WOM"	wild
FG41	10/28/2000	Heliconius	wallacei		Male	Freshly dead-good glow	Wild	FG41	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048	Freshly dead-good glow	"DDK, WOM"	wild
FG42	10/28/2000	Heliconius	melpomene hybrid		Male		Wild	FG42	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048		"DDK, WOM"	wild
FG43	10/28/2000	Heliconius	erato hybrid		Male	freshly dead	Wild	FG43	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048	freshly dead	"DDK, WOM"	wild
FG44	10/28/2000	Heliconius	antiochus		Male		Wild	FG44	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048		"DDK, WOM"	wild
FG45	10/28/2000	Dryas			Male	Actually loc 61	Wild	FG45	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048	Actually loc 61	"DDK, WOM"	wild
FG46	10/28/2000	Heliconius	erato	erato	Male	Actually loc 61	Wild	FG46	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048	Actually loc 61	"DDK, WOM"	wild
FG47	10/28/2000	Heliconius	wallacei		Male	"freshly dead, Actually loc 61"	Wild	FG47	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048	"freshly dead, Actually loc 61"	"DDK, WOM"	wild
FG48	10/28/2000	Heliconius	wallacei		Male	"freshly dead, Actually loc 61"	Wild	FG48	"Montjoly, Regine Rio Compte W. side"	Cayenne	French Guiana	4.660566667	52.35511667	-3.048	"freshly dead, Actually loc 61"	"DDK, WOM"	wild
FG49	10/29/2000	Heliconius	ricini		Male	Killed live	Wild	FG49	Auberge des Orpailleurs Rio Orapu! au Regine Auberge des Orpailleurs @Rio Orapu!	Cayenne	French Guiana	4.5107	52.35163333	6.096	Killed live	"DDK, WOM"	wild
FG5	10/27/2000	Heliconius	erato	erato	Unknown		Wild	FG5	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Above Cacao @ access interdit"	Cayenne	French Guiana	4.5392	52.47388333	53.9496		"DDK, WOM"	wild
FG50	10/29/2000	Heliconius	sara		Female	"Killed live , w/bm actually loc 64"	Wild	FG50	Auberge des Orpailleurs Rio Orapu! au Regine Auberge des Orpailleurs @Rio Orapu!	Cayenne	French Guiana	4.5107	52.35163333	6.096	"Killed live , w/bm actually loc 64"	"DDK, WOM"	wild
FG51	10/29/2000	Heliconius	sara		Male	"Killed live, actually loc 64"	Wild	FG51	Auberge des Orpailleurs Rio Orapu! au Regine Auberge des Orpailleurs @Rio Orapu!	Cayenne	French Guiana	4.5107	52.35163333	6.096	"Killed live, actually loc 64"	"DDK, WOM"	wild
FG52	10/29/2000	Euides			Male		Wild	FG52	Auberge des Orpailleurs Rio Orapu! au Regine Roadside stop km 43.6 (Regine = ?)	Cayenne	French Guiana	4.479216667	52.35023333	60.0456		"DDK, WOM"	wild
FG53	10/29/2000	Euides			Male		Wild	FG53	Auberge des Orpailleurs Rio Orapu! au Regine Roadside stop km 43.6 (Regine = ?)	Cayenne	French Guiana	4.479216667	52.35023333	60.0456		"DDK, WOM"	wild
FG54	10/29/2000	Euides			Male		Wild	FG54	Auberge des Orpailleurs Rio Orapu! au Regine Roadside stop km 43.6 (Regine = ?)	Cayenne	French Guiana	4.479216667	52.35023333	60.0456		"DDK, WOM"	wild
FG55	10/29/2000	Euides			Male		Wild	FG55	Auberge des Orpailleurs Rio Orapu! au Regine Roadside stop km 43.6 (Regine = ?)	Cayenne	French Guiana	4.479216667	52.35023333	60.0456		"DDK, WOM"	wild
FG56	10/29/2000	Ithomiine spp.	large tiger		Female		Wild	FG56	Auberge des Orpailleurs Rio Orapu! au Regine Michele Carnel et Joel les amis du Calif et ...	Cayenne	French Guiana	4.281333333	52.17316667	60.0456		"DDK, WOM"	wild
FG57	10/29/2000	Ithomiine spp.	large tiger		Male		Wild	FG57	Auberge des Orpailleurs Rio Orapu! au Regine Michele Carnel et Joel les amis du Calif et ...	Cayenne	French Guiana	4.281333333	52.17316667	60.0456		"DDK, WOM"	wild
FG58	10/29/2000	Heliconius	large tiger		Female		Wild	FG58	Auberge des Orpailleurs Rio Orapu! au Regine Michele Carnel et Joel les amis du Calif et ...	Cayenne	French Guiana	4.281333333	52.17316667	60.0456		"DDK, WOM"	wild
FG59	10/30/2000	Ithomiine spp.					Wild	FG59	Auberge des Orpailleurs au Cayenne au Cayenne Auberge des Orpailleurs @ rio Orapo	Cayenne	French Guiana	4.5107	52.35163333	6.096		"DDK, WOM"	wild
FG6	10/27/2000	Heliconius	sara		Unknown		Wild	FG6	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Above Cacao @ access interdit"	Cayenne	French Guiana	4.5392	52.47388333	53.9496		"DDK, WOM"	wild
FG60	10/30/2000	Heliconius	sara				Wild	FG60	Auberge des Orpailleurs au Cayenne au Cayenne Auberge des Orpailleurs @ rio Orapo	Cayenne	French Guiana	4.5107	52.35163333	6.096		"DDK, WOM"	wild
FG61	10/30/2000	Nymphalid					Wild	FG61	Auberge des Orpailleurs au Cayenne au Cayenne Auberge des Orpailleurs @ rio Orapo	Cayenne	French Guiana	4.5107	52.35163333	6.096		"DDK, WOM"	wild
FG62	10/30/2000	Nymphalid					Wild	FG62	Auberge des Orpailleurs au Cayenne au Cayenne Auberge des Orpailleurs @ rio Orapo	Cayenne	French Guiana	4.5107	52.35163333	6.096		"DDK, WOM"	wild
FG63	10/30/2000	Euides					Wild	FG63	Auberge des Orpailleurs au Cayenne au Cayenne @ road bend to s.	Cayenne	French Guiana	4.61135	52.38206667	24.0792		"DDK, WOM"	wild
FG64	10/31/2000	Heliconius					Wild	FG64	Maripousoula et environs Roost by crique	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248		"DDK, WOM"	wild
FG65	11/1/2000	Dione					Wild	FG65	Maripousoula et environs @ first dryas spot	St. Laurent du Maroni	French Guiana	3.6436	54.02855	107.8992		"DDK, WOM"	wild
FG66	11/1/2000	Ithomiine spp.					Wild	FG66	Maripousoula et environs @ first dryas spot	St. Laurent du Maroni	French Guiana	3.6436	54.02855	107.8992		"DDK, WOM"	wild
								FG66	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG66	11/1/2000	Ithomiine spp.					Wild	FG66	Maripousoula et environs @ first dryas spot	St. Laurent du Maroni	French Guiana	3.6436	54.02855	107.8992		"DDK, WOM"	wild
								FG66	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG67	11/1/2000	Ithomiine spp.					Wild	FG67	Maripousoula et environs @ first dryas spot	St. Laurent du Maroni	French Guiana	3.6436	54.02855	107.8992		"DDK, WOM"	wild
								FG67	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG67	11/1/2000	Heliconius	large tiger				Wild	FG67	Maripousoula et environs @ first dryas spot	St. Laurent du Maroni	French Guiana	3.6436	54.02855	107.8992		"DDK, WOM"	wild
								FG67	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG68	11/1/2000	Heliconius	wallacei				Wild	FG68	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG69	11/1/2000	Heliconius	ricini				Wild	FG69	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG7	10/27/2000	Heliconius	spp 1		Unknown	White patches & skinny wings	Wild	FG7	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Above Cacao @ access interdit"	Cayenne	French Guiana	4.5392	52.47388333	53.9496	White patches & skinny wings	"DDK, WOM"	wild
FG70	11/1/2000	Heliconius	large tiger				Wild	FG70	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG71	11/1/2000	Ithomiine spp.					Wild	FG71	Maripousoula et environs @ other forest edge	St. Laurent du Maroni	French Guiana	3.661683333	54.02783333	110.9472		"DDK, WOM"	wild
FG72	11/1/2000	Heliconius	doris				Wild	FG72	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG73	11/1/2000	Heliconius	wallacei				Wild	FG73	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG74	11/1/2000	Heliconius	large tiger				Wild	FG74	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG75	11/1/2000	Heliconius					Wild	FG75	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG76	11/1/2000	Heliconius	doris				Wild	FG76	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG77	11/1/2000	Heliconius	large tiger				Wild	FG77	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG78	11/1/2000	Heliconius					Wild	FG78	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG79	11/1/2000	Heliconius					Wild	FG79	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG8	10/27/2000	Heliconius	spp 1		Unknown	White patches & skinny wings	Wild	FG8	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Above Cacao @ access interdit"	Cayenne	French Guiana	4.5392	52.47388333	53.9496	White patches & skinny wings	"DDK, WOM"	wild
FG80	11/1/2000	Heliconius	melpomene		Male	Also called FG 327	Wild	FG80	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952	Also called FG 327	"DDK, WOM"	wild
FG81	11/1/2000	Heliconius	melpomene		Male		Wild	FG81	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG82	11/1/2000	Heliconius	melpomene	thexilope	Male		Wild	FG82	Maripousoula et environs @ forest edge	St. Laurent du Maroni	French Guiana	3.661033333	54.02656667	113.9952		"DDK, WOM"	wild
FG83	11/1/2000	Ithomiine spp.					Wild	FG83	Maripousoula et environs @ other forest edge	St. Laurent du Maroni	French Guiana	3.661683333	54.02783333	110.9472		"DDK, WOM"	wild
FG84	11/1/2000	Heliconius					Wild	FG84	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248		"DDK, WOM"	wild
FG85	11/1/2000	Heliconius					Wild	FG85	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248		"DDK, WOM"	wild
FG86	11/1/2000	Heliconius	melpomene		Male		Wild	FG86	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248		"DDK, WOM"	wild
FG87	11/1/2000	Heliconius	melpomene		Male		Wild	FG87	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248		"DDK, WOM"	wild
FG88	11/1/2000	Heliconius	melpomene		Male		Wild	FG88	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248		"DDK, WOM"	wild
FG89	11/1/2000	Heliconius	melpomene	thexilope	Male		Wild	FG89	Maripousoula et environs Back @ roost	St. Laurent du Maroni	French Guiana	3.6627	54.0303	84.1248		"DDK, WOM"	wild
FG9	10/27/2000	Heliconius	spp 1		Unknown	White patches & skinny wings	Wild	FG9	"Montjoly, Cayenne - Cayenne,  Cacao et retour - Motel Beauregard Above Cacao @ access interdit"	Cayenne	French Guiana	4.5392	52.47388333	53.9496	White patches & skinny wings	"DDK, WOM"	wild
FG90	11/1/2000	Heliconius	melpomene	thexilope	Male		Wild	FG90	Maripousoula et environs Rio End of town from barrllof's house	St. Laurent du Maroni	French Guiana	3.63365	54.03063333	110.9472		"DDK, WOM"	wild
FG91	11/1/2000	Ithomiine spp.					Wild	FG91	Maripousoula et environs Rio End of town from barrllof's house	St. Laurent du Maroni	French Guiana	3.63365	54.03063333	110.9472		"DDK, WOM"	wild
FG92	11/2/2000	Heliconius					Wild	FG92	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
FG93	11/2/2000	Heliconius					Wild	FG93	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
FG94	11/2/2000	Heliconius	large tiger				Wild	FG94	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
FG95	11/2/2000	Heliconius					Wild	FG95	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
FG96	11/2/2000	Heliconius					Wild	FG96	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
FG97	11/2/2000	Heliconius					Wild	FG97	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
FG98	11/2/2000	Ithomiine spp.					Wild	FG98	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
FG99	11/2/2000	Heliconius	large tiger				Wild	FG99	Mariposoula au Grande Santi Road along mio edge Suriname!	St. Laurent du Maroni	French Guiana	3.685933333	54.08875	110.9472		"DDK, WOM, CREW"	wild
JM1001		Heliconius	erato	Peru HZ	f	no date	Wild	JM1001	Km 28 T - Y ST 1/ 6	DS14	Peru						wild
JM1003		Heliconius	erato	Peru HZ	m	no date	Wild	JM1003	Km 28 T - Y ST 8	DS15	Peru						wild
JM1004		Heliconius	erato	Peru HZ	f	no date	Wild	JM1004	Km 28 T - Y ST 8	DS15	Peru						wild
JM1005		Heliconius	erato	Peru HZ	m	no date	Wild	JM1005	Km 28 T - Y ST 8	DS15	Peru						wild
JM1008		Heliconius	erato	Peru HZ	m	no date	Wild	JM1008	Km 28 T - Y ST 10	DS16	Peru						wild
JM1009		Heliconius	erato	Peru HZ	f	no date	Wild	JM1009	Km 28 T - Y ST 10	DS16	Peru						wild
JM1010		Heliconius	erato	Peru HZ	m	no date	Wild	JM1010	Km 28 T - Y ST 10	DS16	Peru						wild
JM1011		Heliconius	erato	Peru HZ	m	no date	Wild	JM1011	Km 28 T - Y ST 8	DS15	Peru						wild
JM1013		Heliconius	erato	Peru HZ	f	no date	Wild	JM1013	Km 28 T - Y ST 1/ 6	DS14	Peru						wild
JM1028		Heliconius	erato	Peru HZ	m	no date	Wild	JM1028	"Santa Rosa de Davidcillo, km 72 T-Y"	DS30	Peru						wild
JM1029		Heliconius	erato	Peru HZ	m	no date	Wild	JM1029	"Santa Rosa de Davidcillo, km 72 T-Y"	DS30	Peru						wild
JM1031		Heliconius	erato	Peru HZ	m	no date	Wild	JM1031	"Santa Rosa de Davidcillo, km 72 T-Y"	DS30	Peru						wild
JM1033		Heliconius	erato	Peru HZ	m	no date	Wild	JM1033	"Santa Rosa de Davidcillo, km 72 T-Y"	DS30	Peru						wild
JM1034		Heliconius	erato	Peru HZ	m	no date	Wild	JM1034	"Santa Rosa de Davidcillo, km 72 T-Y"	DS30	Peru						wild
JM1035		Heliconius	erato	Peru HZ	m	no date	Wild	JM1035	"Santa Rosa de Davidcillo, km 72 T-Y"	DS31	Peru						wild
JM1036		Heliconius	erato	Peru HZ	m	no date	Wild	JM1036	"Santa Rosa de Davidcillo, km 72 T-Y"	DS31	Peru						wild
JM1037		Heliconius	erato	Peru HZ	m	no date	Wild	JM1037	"Santa Rosa de Davidcillo, km 72 T-Y"	DS31	Peru						wild
JM1038		Heliconius	erato	Peru HZ	f	no date	Wild	JM1038	"Santa Rosa de Davidcillo, km 72 T-Y"	DS31	Peru						wild
JM1039		Heliconius	erato	Peru HZ	m	no date	Wild	JM1039	"Santa Rosa de Davidcillo, km 72 T-Y"	DS31	Peru						wild
JM1040		Heliconius	erato	Peru HZ	m	no date	Wild	JM1040	"Santa Rosa de Davidcillo, km 72 T-Y"	DS31	Peru						wild
JM1041		Heliconius	erato	Peru HZ	m	no date	Wild	JM1041	"Santa Rosa de Davidcillo, km 72 T-Y"	DS31	Peru						wild
JM1042		Heliconius	erato	Peru HZ	m	no date	Wild	JM1042	"Santa Rosa de Davidcillo, km 72 T-Y"	DS31	Peru						wild
JM1043		Heliconius	erato	Peru HZ	m/f	no date	Wild	JM1043	"Santa Rosa de Davidcillo, km 72 T-Y"	DS32	Peru						wild
JM1044		Heliconius	erato	Peru HZ	m/f	no date	Wild	JM1044	"Santa Rosa de Davidcillo, km 72 T-Y"	DS32	Peru						wild
JM1045		Heliconius	erato	Peru HZ	m	no date	Wild	JM1045	"Santa Rosa de Davidcillo, km 72 T-Y"	DS32	Peru						wild
JM1047		Heliconius	erato	Peru HZ	m	no date	Wild	JM1047	"Santa Rosa de Davidcillo, km 72 T-Y"	DS32	Peru						wild
JM1105		Heliconius	erato	Peru HZ	m/f	no date	Wild	JM1105	"Santa Rosa de Davidcillo, km 72 T-Y"	DS31	Peru						wild
JM1140		Heliconius	erato	Peru HZ	m	no date	Wild	JM1140	"Chazuta, Rio Huallaga, 220-320M"	DS01	Peru						wild
JM1141		Heliconius	erato	Peru HZ	f	no date	Wild	JM1141	"Chazuta, Rio Huallaga, 220-320M"	DS01	Peru						wild
JM1142		Heliconius	erato	Peru HZ	m	no date	Wild	JM1142	"Chazuta, Rio Huallaga, 220-320M"	DS02	Peru						wild
JM1143		Heliconius	erato	Peru HZ	m	no date	Wild	JM1143	"Chazuta, Rio Huallaga, 220-320M"	DS02	Peru						wild
JM1145		Heliconius	erato	Peru HZ	m	no date	Wild	JM1145	"Chazuta, Rio Huallaga, 220-320M"	DS03	Peru						wild
JM1146		Heliconius	erato	Peru HZ	m	no date	Wild	JM1146	"Chazuta, Rio Huallaga, 220-320M"	DS03	Peru						wild
JM1148		Heliconius	erato	Peru HZ	m	no date	Wild	JM1148	"Chazuta, Rio Huallaga, 220-320M"	DS02	Peru						wild
JM1174		Heliconius	melpomene	Peru HZ (cognata)	m	no date	Wild	JM1174									wild
JM1178		Heliconius	melpomene	Peru HZ (cognata)	f	no date	Wild	JM1178									wild
JM1181		Heliconius	melpomene	Peru HZ (cognata)	m	no date	Wild	JM1181									wild
JM1187		Heliconius	melpomene	Peru HZ (cognata)	m	no date	WIld	JM1187									wild
JM1264		Heliconius	erato	Peru HZ	m	no date	Wild	JM1264	"Chazuta, Rio Huallaga, 220-320M"	DS02	Peru						wild
JM1265		Heliconius	erato	Peru HZ	f	no date	Wild	JM1265	"Chazuta, Rio Huallaga, 220-320M"	DS02	Peru						wild
JM1266		Heliconius	erato	Peru HZ	m	no date	Wild	JM1266	"Chazuta, Rio Huallaga, 220-320M"	DS03	Peru						wild
JM1267		Heliconius	erato	Peru HZ	m	no date	Wild	JM1267	"Chazuta, Rio Huallaga, 220-320M"	DS03	Peru						wild
JM1268		Heliconius	erato	Peru HZ	m	no date	Wild	JM1268	"Chazuta, Rio Huallaga, 220-320M"	DS04	Peru						wild
JM1269		Heliconius	erato	Peru HZ	m	no date	Wild	JM1269	"Chazuta, Rio Huallaga, 220-320M"	DS04	Peru						wild
JM1270		Heliconius	melpomene	Peru HZ (amaryllis)	m	no date	Wild	JM1270									wild
JM1271		Heliconius	melpomene	Peru HZ (amaryllis)	f	no date	Wild	JM1271									wild
JM1275		Heliconius	erato	Peru HZ	f	no date	Wild	JM1275	"Tarapoto, Rio Shilcayo, 350M, NR Toma de agua"	DS06	Peru						wild
JM1277		Heliconius	erato	Peru HZ	f	no date	Wild	JM1277	Tarapoto Site 1	DS07	Peru						wild
JM1286		Heliconius	erato	Peru HZ	m	no date	Wild	JM1286	Tarapoto ST. 4/ 5	DS10	Peru						wild
JM1288		Heliconius	erato	Peru HZ	m	no date	Wild	JM1288	Tarapoto Site 3	DS09	Peru						wild
JM1289		Heliconius	erato	Peru HZ	m	no date	Wild	JM1289	Km 28 T - Y ST 10	DS16	Peru						wild
JM1298		Heliconius	erato	Peru HZ	m	no date	Wild	JM1298	Km 28 T - Y ST 8	DS15	Peru						wild
JM1299		Heliconius	erato	Peru HZ	m	no date	Wild	JM1299	Km 28 T - Y ST 8	DS15	Peru						wild
JM1300		Heliconius	erato	Peru HZ	m	no date	Wild	JM1300	"Cataratas & Atena, Km 15-17 Tarapoto - Yurimaguas"	DS12	Peru						wild
JM1307		Heliconius	erato	Peru HZ	m	no date	Wild	JM1307	"Cataratas & Atena, Km 15-17 Tarapoto - Yurimaguas"	DS12	Peru						wild
JM1310		Heliconius	erato	Peru HZ	f	no date	Wild	JM1310	"Cataratas & Atena, Km 15-17 Tarapoto - Yurimaguas"	DS12	Peru						wild
JM1311		Heliconius	erato	Peru HZ	m	no date	Wild	JM1311	"Cataratas & Atena, Km 15-17 Tarapoto - Yurimaguas"	DS12	Peru						wild
JM1314		Heliconius	erato	Peru HZ	m	no date	Wild	JM1314	"Cataratas & Atena, Km 15-17 Tarapoto - Yurimaguas"	DS12	Peru						wild
JM1317		Heliconius	erato	Peru HZ	m	no date	Wild	JM1317	"Cataratas & Atena, Km 15-17 Tarapoto - Yurimaguas"	DS12	Peru						wild
JM1319		Heliconius	erato	Peru HZ	f	no date	Wild	JM1319	"Cataratas & Atena, Km 15-17 Tarapoto - Yurimaguas"	DS12	Peru						wild
JM1320		Heliconius	erato	Peru HZ	m	no date	Wild	JM1320	"Cataratas & Atena, Km 15-17 Tarapoto - Yurimaguas"	DS12	Peru						wild
JM1321		Heliconius	erato	Peru HZ	m	no date	Wild	JM1321	"Cataratas & Atena, Km 15-17 Tarapoto - Yurimaguas"	DS12	Peru						wild
JM1322		Heliconius	erato	Peru HZ	f	no date	Wild	JM1322	"KN 30 T - Y Rio Tiraco, 570 M"	DS17	Peru						wild
JM1324		Heliconius	erato	Peru HZ	f	no date	Wild	JM1324	"KN 30 T - Y Rio Tiraco, 570 M"	DS17	Peru						wild
JM1326		Heliconius	erato	Peru HZ	f	no date	Wild	JM1326	"KN 30 T - Y Rio Tiraco, 570 M"	DS17	Peru						wild
JM1327		Heliconius	erato	Peru HZ	m	no date	Wild	JM1327	"KN 30 T - Y Rio Tiraco, 570 M"	DS17	Peru						wild
JM1328		Heliconius	erato	Peru HZ	m	no date	Wild	JM1328	"KN 30 T - Y Rio Tiraco, 570 M"	DS17	Peru						wild
JM1329		Heliconius	erato	Peru HZ	m	no date	Wild	JM1329	"KN 30 T - Y Rio Tiraco, 570 M"	DS17	Peru						wild
JM1331		Heliconius	erato	Peru HZ	m	no date	Wild	JM1331	"KN 30 T - Y Rio Tiraco, 570 M"	DS17	Peru						wild
JM1333		Heliconius	erato	Peru HZ	m	no date	Wild	JM1333	"KN 30 T - Y Rio Tiraco, 570 M"	DS17	Peru						wild
JM1335		Heliconius	erato	Peru HZ	f	no date	Wild	JM1335	"KN 30 T - Y Rio Tiraco, 570 M"	DS17	Peru						wild
JM1336		Heliconius	erato	Peru HZ	m	no date	Wild	JM1336	"KN 30 T - Y Rio Tiraco, 570 M"	DS17	Peru						wild
JM1337		Heliconius	erato	Peru HZ	m	no date	Wild	JM1337	KN 54 T-Y	DS22	Peru						wild
JM1339		Heliconius	erato	Peru HZ	m	no date	Wild	JM1339	KN 54 T-Y	DS22	Peru						wild
JM1340		Heliconius	erato	Peru HZ	m	no date	Wild	JM1340	KN 54 T-Y	DS22	Peru						wild
JM1341		Heliconius	erato	Peru HZ	m	no date	Wild	JM1341	KN 54 T-Y	DS22	Peru						wild
JM1342		Heliconius	erato	Peru HZ	m	no date	Wild	JM1342	KN 54 T-Y	DS22	Peru						wild
JM1357		Heliconius	erato	Peru HZ	m	no date	Wild	JM1357	"1.5 km below Pongo de Cainarache, between Rio Cainarache and Mt range"	DS25	Peru						wild
JM1358		Heliconius	erato	Peru HZ	m	no date	Wild	JM1358	"1.5 km below Pongo de Cainarache, between Rio Cainarache and Mt range"	DS25	Peru						wild
JM1359		Heliconius	erato	Peru HZ	m	no date	Wild	JM1359	"1.5 km below Pongo de Cainarache, between Rio Cainarache and Mt range"	DS25	Peru						wild
JM1360		Heliconius	erato	Peru HZ	m	no date	Wild	JM1360	"1.5 km below Pongo de Cainarache, between Rio Cainarache and Mt range"	DS25	Peru						wild
