where	reason	action	id
Error while assigning cross to individual	No cross found: 	ignored	PR137
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR136
Error while assigning cross to individual	No cross found: 	ignored	PR135
Error while assigning cross to individual	No cross found: 	ignored	PR134
Error while assigning cross to individual	No cross found: 	ignored	PR133
Error while assigning cross to individual	No cross found: 	ignored	PR132
Error while assigning cross to individual	No cross found: 	ignored	PR131
Error while assigning cross to individual	No cross found: 	ignored	PR130
Error while assigning cross to individual	No cross found: 	ignored	PR129
Error while assigning cross to individual	No cross found: 	ignored	PR128
Error while assigning cross to individual	No cross found: 	ignored	PR127
Error while assigning cross to individual	No cross found: 	ignored	PR126
Error while assigning cross to individual	No cross found: 	ignored	PR124
Error while assigning cross to individual	No cross found: 	ignored	PR123
Error while assigning cross to individual	No cross found: 	ignored	PR122
Error while assigning cross to individual	No cross found: 	ignored	PR120
Error while assigning cross to individual	No cross found: 	ignored	PR119
Error while assigning cross to individual	No cross found: 	ignored	PR118
Error while assigning cross to individual	No cross found: 	ignored	PR116
Error while assigning cross to individual	No cross found: 	ignored	PR115
Error while assigning cross to individual	No cross found: 	ignored	PR114
Error while assigning cross to individual	No cross found: 	ignored	PR113
Error while assigning cross to individual	No cross found: 	ignored	PR112
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR111
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR110
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR109
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR108
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR107
Error while assigning cross to individual	No cross found: 	ignored	PR106
Error while assigning cross to individual	No cross found: 	ignored	PR105
Error while assigning cross to individual	No cross found: 	ignored	PR104
Error while assigning cross to individual	No cross found: 	ignored	PR103
Error while assigning cross to individual	No cross found: 	ignored	PR102
Error while assigning cross to individual	No cross found: 	ignored	PR101
Error while assigning cross to individual	No cross found: 	ignored	PR1455
Error while assigning cross to individual	No cross found: 	ignored	PR1454
Error while assigning cross to individual	No cross found: 	ignored	PR1453
Error while assigning cross to individual	No cross found: 	ignored	PR1452
Error while assigning cross to individual	No cross found: 	ignored	PR1451
Error while assigning cross to individual	No cross found: 	ignored	PR1450
Error while assigning cross to individual	No cross found: 	ignored	PR1449
Error while assigning cross to individual	No cross found: 	ignored	PR1448
Error while assigning cross to individual	No cross found: 	ignored	PR1447
Error while assigning cross to individual	No cross found: 	ignored	PR1446
Error while assigning cross to individual	No cross found: 	ignored	PR1445
Error while assigning cross to individual	No cross found: 	ignored	PR1444
Error while assigning cross to individual	No cross found: 	ignored	PR1443
Error while assigning cross to individual	No cross found: 	ignored	PR1442
Error while assigning cross to individual	No cross found: 	ignored	PR1441
Error while assigning cross to individual	No cross found: 	ignored	PR1440
Error while assigning cross to individual	No cross found: 	ignored	PR1439
Error while assigning cross to individual	No cross found: 	ignored	PR1438
Error while assigning cross to individual	No cross found: 	ignored	PR1437
Error while assigning cross to individual	No cross found: 	ignored	PR1436
Error while assigning cross to individual	No cross found: 	ignored	PR1435
Error while assigning cross to individual	No cross found: 	ignored	PR1434
Error while assigning cross to individual	No cross found: 	ignored	PR1433
Error while assigning cross to individual	No cross found: 	ignored	PR1432
Error while assigning cross to individual	No cross found: 	ignored	PR1431
Error while assigning cross to individual	No cross found: 	ignored	PR1430
Error while assigning cross to individual	No cross found: 	ignored	PR1429
Error while assigning cross to individual	No cross found: 	ignored	PR1428
Error while assigning cross to individual	No cross found: 	ignored	PR1427
Error while assigning cross to individual	No cross found: 	ignored	PR1426
Error while assigning cross to individual	No cross found: 	ignored	PR1425
Error while assigning cross to individual	No cross found: 	ignored	PR1424
Error while assigning cross to individual	No cross found: 	ignored	PR1423
Error while assigning cross to individual	No cross found: 	ignored	PR1422
Error while assigning cross to individual	No cross found: 	ignored	PR1421
Error while assigning cross to individual	No cross found: 	ignored	PR1420
Error while assigning cross to individual	No cross found: 	ignored	PR1419
Error while assigning cross to individual	No cross found: 	ignored	PR1418
Error while assigning cross to individual	No cross found: 	ignored	PR1417
Error while assigning cross to individual	No cross found: 	ignored	PR1416
Error while assigning cross to individual	No cross found: 	ignored	PR1415
Error while assigning cross to individual	No cross found: 	ignored	PR1414
Error while assigning cross to individual	No cross found: 	ignored	PR1413
Error while assigning cross to individual	No cross found: 	ignored	PR1412
Error while assigning cross to individual	No cross found: 	ignored	PR1411
Error while assigning cross to individual	No cross found: 	ignored	PR1410
Error while assigning cross to individual	No cross found: 	ignored	PR1409
Error while assigning cross to individual	No cross found: 	ignored	PR1408
Error while assigning cross to individual	No cross found: 	ignored	PR1407
Error while assigning cross to individual	No cross found: 	ignored	PR1406
Error while assigning cross to individual	No cross found: 	ignored	PR1405
Error while assigning cross to individual	No cross found: 	ignored	PR1404
Error while assigning cross to individual	No cross found: 	ignored	PR1403
Error while assigning cross to individual	No cross found: 	ignored	PR707
Error while assigning cross to individual	No cross found: 	ignored	PR700
Error while assigning cross to individual	No cross found: 	ignored	PR1386
Error while assigning cross to individual	No cross found: 	ignored	PR1344
Error while assigning cross to individual	No cross found: 	ignored	PR681
Error while assigning cross to individual	No cross found: 	ignored	PR660
Error while assigning cross to individual	No cross found: 	ignored	PR1313
Error while assigning cross to individual	No cross found: 	ignored	PR1307
Error while assigning cross to individual	No cross found: 	ignored	PR1958
Error while assigning cross to individual	No cross found: 	ignored	PR1911
Error while assigning cross to individual	No cross found: 	ignored	PR1910
Error while assigning cross to individual	No cross found: 	ignored	PR1906
Error while assigning cross to individual	No cross found: 	ignored	PR1903
Error while assigning cross to individual	No cross found: 	ignored	PR1900
Error while assigning cross to individual	No cross found: 	ignored	PR99
Error while assigning cross to individual	No cross found: 	ignored	PR96
Error while assigning cross to individual	No cross found: 	ignored	PR95
Error while assigning cross to individual	No cross found: 	ignored	PR94
Error while assigning cross to individual	No cross found: 	ignored	PR93
Error while assigning cross to individual	No cross found: 	ignored	PR92
Error while assigning cross to individual	No cross found: 	ignored	PR91
Error while assigning cross to individual	No cross found: 	ignored	PR90
Error while assigning cross to individual	No cross found: 	ignored	PR88
Error while assigning cross to individual	No cross found: 	ignored	PR1186
Error while assigning cross to individual	No cross found: 	ignored	PR87
Error while assigning cross to individual	No cross found: 	ignored	PR86
Error while assigning cross to individual	No cross found: 	ignored	PR85
Error while assigning cross to individual	No cross found: 	ignored	PR1183
Error while assigning cross to individual	No cross found: 	ignored	PR84
Error while assigning cross to individual	No cross found: 	ignored	PR83
Error while assigning cross to individual	No cross found: 	ignored	PR81
Error while assigning cross to individual	No cross found: 	ignored	PR80
Error while assigning cross to individual	No cross found: 	ignored	PR1178
Error while assigning cross to individual	No cross found: 	ignored	PR79
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR78
Error while assigning cross to individual	No cross found: 	ignored	PR77
Error while assigning cross to individual	No cross found: 	ignored	PR76
Error while assigning cross to individual	No cross found: 	ignored	PR72
Error while assigning cross to individual	No cross found: 	ignored	PR68
Error while assigning cross to individual	No cross found: 	ignored	PR67
Error while assigning cross to individual	No cross found: 	ignored	PR66
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR65
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR64
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR63
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR62
Error while assigning cross to individual	No cross found: CyHiB2	ignored	PR61
Error while assigning cross to individual	No cross found: 	ignored	PR59
Error while assigning cross to individual	No cross found: 	ignored	PR54
Error while assigning cross to individual	No cross found: 	ignored	PR50
Error while assigning cross to individual	No cross found: 	ignored	PR49
Error while assigning cross to individual	No cross found: 	ignored	PR48
Error while assigning cross to individual	No cross found: 	ignored	PR47
Error while assigning cross to individual	No cross found: 	ignored	PR46
Error while assigning cross to individual	No cross found: 	ignored	PR45
Error while assigning cross to individual	No cross found: 	ignored	PR44
Error while assigning cross to individual	No cross found: 	ignored	PR43
Error while assigning cross to individual	No cross found: 	ignored	PR42
Error while assigning cross to individual	No cross found: 	ignored	PR41
Error while assigning cross to individual	No cross found: 	ignored	PR40
Error while assigning cross to individual	No cross found: 	ignored	PR39
Error while assigning cross to individual	No cross found: 	ignored	PR38
Error while assigning cross to individual	No cross found: 	ignored	PR37
Error while assigning cross to individual	No cross found: 	ignored	PR36
Error while assigning cross to individual	No cross found: 	ignored	PR1134
Error while assigning cross to individual	No cross found: 	ignored	PR35
Error while assigning cross to individual	No cross found: 	ignored	PR34
Error while assigning cross to individual	No cross found: 	ignored	PR33
Error while assigning cross to individual	No cross found: 	ignored	PR32
Error while assigning cross to individual	No cross found: 	ignored	PR31
Error while assigning cross to individual	No cross found: 	ignored	PR30
Error while assigning cross to individual	No cross found: 	ignored	PR29
Error while assigning cross to individual	No cross found: 	ignored	PR28
Error while assigning cross to individual	No cross found: 	ignored	PR1126
Error while assigning cross to individual	No cross found: 	ignored	PR27
Error while assigning cross to individual	No cross found: 	ignored	PR26
Error while assigning cross to individual	No cross found: 	ignored	PR25
Error while assigning cross to individual	No cross found: 	ignored	PR24
Error while assigning cross to individual	No cross found: 	ignored	PR23
Error while assigning cross to individual	No cross found: 	ignored	PR22
Error while assigning cross to individual	No cross found: 	ignored	PR21
Error while assigning cross to individual	No cross found: 	ignored	PR20
Error while assigning cross to individual	No cross found: 	ignored	PR19
Error while assigning cross to individual	No cross found: 	ignored	PR18
Error while assigning cross to individual	No cross found: 	ignored	PR17
Error while assigning cross to individual	No cross found: 	ignored	PR16
Error while assigning cross to individual	No cross found: 	ignored	PR15
Error while assigning cross to individual	No cross found: 	ignored	PR14
Error while assigning cross to individual	No cross found: 	ignored	PR13
Error while assigning cross to individual	No cross found: 	ignored	PR12
Error while assigning cross to individual	No cross found: 	ignored	PR11
Error while assigning cross to individual	No cross found: 	ignored	PR10
Error while assigning cross to individual	No cross found: 	ignored	PR09
Error while assigning cross to individual	No cross found: 	ignored	PR08
Error while assigning cross to individual	No cross found: 	ignored	PR07
Error while assigning cross to individual	No cross found: 	ignored	PR06
Error while assigning cross to individual	No cross found: 	ignored	PR05
Error while assigning cross to individual	No cross found: 	ignored	PR04
Error while assigning cross to individual	No cross found: 	ignored	PR03
Error while assigning cross to individual	No cross found: 	ignored	PR02
Error while assigning cross to individual	No cross found: NoF29	ignored	PR01
Error while assigning cross to individual	No cross found: cyribia	ignored	
