F2	etylus x himera	EtF2-3	HiEt3		PR270	EtHi12		PR274	1/29/2000		145	118	FxNF	81.3
F2	etylus x himera	EtF2-4	HiEt3			EtHi12		PR277	1/29/2000				FxNF	
F2	etylus x himera	EtF2-5	HiEt3		PR266	EtHi12		PR276	1/30/2000		146	84	FxNF	57.5
F2	etylus x himera	EtF2-6	EtHi12			EtHi14		PR268	1/30/2000				NFxF	
F2	etylus x himera	EtF2-7	EtHi14/HiEt3		PR260	EtHi12		PR259	2/1/2000				FxNF	
F2	etylus x himera	EtF2-8	EtHi14/HiEt3			EtHi12		PR275	2/1/2000				FxNF	
F2	etylus x himera	EtF2-9	HiEt3/EtHi14			EtHi12		PR272	2/1/2000				FxNF	
F2	etylus x himera	EtF2-10	EtHi12			HiEt3		PR261	2/1/2000		148	76	NFxF	51.3
F2	etylus x himera	EtF2-11	HiEt4			EtHi14/15		PR254			150	92	NFxF	61.3
F2	etylus x himera	EtF2-12	HiEt4		PR281	EtHi14		PR258			175	120	NFxF	68.5
F1	notabalis x himera	NoHi1	NOT		PR160	HIM		PR91,92,100,103	11/4/2000		17	4	NON-F	23.5
F1	notabalis x himera	NoHi2	NOT			HIM		PR121	11/13/2000					
F1	notabalis x himera	HiNo2	HBr14		PR229	NOT		PR248	12/27/2000		68	0	FOCAL	0
F1	notabalis x himera	HiNo3	HBr13/14		PR237	NOT		PR231	12/29/2000				FOCAL	
F1	notabalis x himera	HiNo4	HBr12/13/14			NOT		PR212	12/31/2000		92	15	FOCAL	16.3
F1	notabalis x himera	HiNo6	HIM		PR220	NOT		PR212	1/6/2000		46	5	NON-F	10.8
F1	notabalis x himera	HiNo7	HIM		PR262	NOT		PR212	1/19/2000		50	0	NON-F	0
BX	notabalis x himera	HiNH1	HBR?			NoHi1		PR264	1/28/2000					
F2	notabalis x himera	NoF2-1	HiNo2		PR255	NoHi1		PR264	1/30/2000		122	92	FxNF	75.4
F2	notabalis x himera	NoF2-2	HiNo2		PR279	NoHi1		PR264	2/1/2000		84	56	FxNF	66.6
F2	notabalis x himera	NoF2-6	HiNo6		PR252	HiNo2		PR271			152	85		55.9
F2	notabalis x himera	NoF2-9	HiNo6		PR280	HiNo2		PR247			159	107		67.2
F2	notabalis x himera	NoF2-3				HiNo2		PR267			20			0
F2	notabalis x himera	NoF2-7				HiNo2		PR263						
F2	notabalis x himera	NoF2-4				HiNo2		PR265			13			0
F2	notabalis x himera	NoF2-5				HiNo2		PR256			55			0
F2	notabalis x himera	NoF2-8				HiNo2		PR273			12			0
F1	erato x himera	HiEr5	H. himera (NB3)	NB3 blue . vrhw	PR2116	H. e. erato	306	PR2115	12/19/2000					
F1	erato x himera	HiEr5	H. himera (NB3)	NB3 blue . vrhw	PR2116	H. e. erato	423	PR2117	12/19/2000					
Stock	cyrbia	cyrbia	stock cage	NA	NA	stock cage	NA	NA	NA	NA				
Stock	erato	erato	stock cage	NA	NA	stock cage	NA	NA	NA	NA				
Stock	himera	himera	stock cage	NA	NA	stock cage	NA	NA	NA	NA				
Stock	notabalis	notabalis	stock cage	NA	NA	stock cage	NA	NA	NA	NA				
Stock	peterivana	peterivana	stock cage	NA	NA	stock cage	NA	NA	NA	NA				
Stock	himera	NB3xStock	stock cage	NA	NA	stock cage	NA	NA	NA	NA				
Stock	etylus	etylus	stock cage	NA	NA	stock cage	NA	NA	NA	NA				
F1	erato x himera	ErHi4	H. e. erato	blue . lfw	PR2109	H. himera (STOCK)	blue . rfw	PR2113	12/15/2000	12/30/2000				
F1	cyrbia x himera	HiCy_6367	H. himera		EC620	H. e. cyrbia		EC588					This is original cross from Ecuador	
BX	cyrbia x himera	Brood_67	H. himera		EC1388	HiCy_6367		EC740				35	This is original BX cross from Ecuador; at least one offspring deleted.	?
BX	cyrbia x himera	Brood_63	HiCy_6367		EC1188 	H. himera		EC698				23	This is the original BX; at least one offspring added in 	?
Stock		cyrbia19											Cage 9 original move on march 13 2003	
