PR02	10/18/1999	Heliconius	erato	cyrbia	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared
PR03	10/18/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared
PR04	10/18/1999	Heliconius	erato	cyrbia	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared
PR05	9/30/1999	Heliconius	erato	etylus	f		Reared
PR06	9/30/1999	Heliconius	erato	etylus	f		Reared
PR07	9/23/1999	Heliconius	erato	etylus	m		Reared
PR08	9/25/1999	Heliconius	erato	etylus	?		Reared
PR09	9/28/1999	Heliconius	erato	etylus	m		Reared
PR10	9/28/1999	Heliconius	erato	cyrbia	f	INEFAN?	Reared
PR11	9/28/1999	Heliconius	erato	cyrbia	m	INEFAN?	Reared
PR12	9/28/1999	Heliconius	erato	notabalis	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared
PR13	9/28/1999	Heliconius	erato	notabalis	f		Reared
PR14	1/10/1999	Heliconius	erato	notabalis	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared
PR15	1/10/1999	Heliconius	erato	notabalis	f		Reared
PR16	1/10/1999	Heliconius	erato	petiverana	f		Reared
PR17	10/13/1999	Heliconius	erato	etylus	f		Reared
PR18	1/10/1999	Heliconius	himera		f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared
PR19	1/10/1999	Heliconius	himera		f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix; INEFAN?	Reared
PR20	1/10/1999	Heliconius	himera			INEFAN?	Reared
PR21	1/10/1999	Heliconius	himera			INEFAN?	Reared
PR22	1/10/1999	Heliconius	himera		f	INEFAN?	Reared
PR23	8/28/1999	Heliconius	himera		f	INEFAN?	Reared
PR24	8/28/1999	Heliconius	erato	etylus	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared
PR25	8/28/1999	Heliconius	doris??			Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared
PR26	8/28/1999	Heliconius	erato	petiverana	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared
PR27	8/28/1999	Heliconius	erato	petiverana	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared
PR28	8/28/1999	Heliconius	erato	petiverana	m	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared
