PR70	10/11/1999	Heliconius	himera		m		Reared	PR70			himera		etylus	father1/3	EtHi7/ 8;CyHi6	This is male parent (1/3) of EtHi7/ 8;CyHi6	himera	himera	NA	NA	Stock	Reared	
PR71	10/11/1999	Heliconius	himera		m		Reared	PR71			himera		etylus	father2/3	EtHi7/ 8;CyHi6	This is male parent (2/3) of EtHi7/ 8;CyHi6	himera	himera	NA	NA	Stock	Reared	
PR72	10/11/1999	Heliconius	erato	cyrbia	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared	PR72														Reared	
PR73	10/11/1999	Heliconius	erato	etylus	f		Reared	PR73			etylus		etylus	mother	EtHi4	This is the female parent of EtHi4	etylus	etylus	NA	NA	Stock	Reared	
PR74	10/11/1999	Heliconius	himera		m		Reared	PR74			himera		etylus	father3/3	EtHi7/ 8;CyHi6	This is male parent (3/3) of EtHi7/ 8;CyHi6	himera	himera	NA	NA	Stock	Reared	
PR75	10/11/1999	Heliconius	himera		m		Reared	PR75			himera		cyrbia	father	(CH)Hi1	Male parent of CHHi1	himera	himera	NA	NA	Stock	Reared	
PR76	10/11/1999	Heliconius	erato	cyrbia	m		Reared	PR76					cyrbia	father	(CH)Cy1	Nic fix this does not relate to cross record for CHCY1						Reared	
PR77	10/11/1999	Heliconius	himera		f		Reared	PR77					himera	mother	HBr7							Reared	
PR78	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR78			CyHiB2	55	cyrbia x himera	F1	CyHiB2-55							Reared	
PR79	10/11/1999	Heliconius	erato	cyrbia	m		Reared	PR79					cyrbia	father1/2	(CH)Cy2	Nic fix this does not relate to cross record						Reared	
PR80	10/11/1999	Heliconius	erato	cyrbia	m		Reared	PR80					cyrbia	father1/2	(CH)Cy3	Nic Fix this doesn’t seem to have anything to do with CHCy3 from cross record						Reared	
PR81	10/11/1999	Heliconius	erato	cyrbia	m		Reared	PR81					cyrbia	father2/2	(CH)Cy3	Nic Fix this doesn’t seem to have anything to do with CHCy3 from cross record						Reared	
PR82	10/11/1999	Heliconius	erato	etylus	f		Reared	PR82	EBr6		etylus		etylus	mother	EtHi7	This is female parent of EtHi7	etylus	etylus	NA	NA	Stock	Reared	
PR83	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR83					cyrbia x himera	F1	CyHi2-?							Reared	
PR84	10/11/1999	Heliconius	erato	cyrbia	m		Reared	PR84					cyrbia	father1/3	(CH)Cy5/6	Nic Fix this is ambiguous						Reared	
PR85	10/11/1999	Heliconius	erato	cyrbia	m		Reared	PR85					cyrbia	father2/3	(CH)Cy5/6	Nic Fix this is ambiguous						Reared	
PR86	10/11/1999	Heliconius	erato	cyrbia	m		Reared	PR86					cyrbia	father3/3	(CH)Cy5/6 	Nic Fix this is ambiguous						Reared	
PR87	10/11/1999	Heliconius	himera		f		Reared	PR87					himera		HBr5-?							Reared	
PR88	10/11/1999	Heliconius	erato	etylus	m		Reared	PR88					etylus	father	EBr6							Reared	
PR89	10/11/1999	Heliconius	himera		m		Reared	PR89			himera		cyrbia	father	(CH)Hi3?	This is potentially the male parent of CHHi3 see cross record.	himera	himera	NA	NA	Stock	Reared	
PR90	10/11/1999	Heliconius	erato	cyrbia	f		Reared	PR90					cyrbia	mother	CBr13 or 14							Reared	
PR91	10/11/1999	Heliconius	himera		m		Reared	PR91					himera	father1/4	HBr10;NoHi-1; CyHiB7	Nic FIX which broods and which fathers? probably doesn’t need anything but a note “potential father of <see contents of Old Brood No>”						Reared	
PR92	10/11/1999	Heliconius	himera		m		Reared	PR92					himera	father2/4 	HBr10;NoHi-1; CyHiB7	Nic FIX which broods and which fathers? probably doesn’t need anything but a note “potential father of <see contents of Old Brood No>”						Reared	
PR93	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR93					cyrbia x himera	F1	CyHi2-?							Reared	
PR94	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR94					cyrbia x himera	father	Cy(CH)1							Reared	
PR95	10/11/1999	Heliconius	erato	etylus	f		Reared	PR95					etylus	mother	EtHi-6							Reared	
PR96	10/11/1999	Heliconius	erato	cyrbia	m		Reared	PR96					cyrbia	father	(CH)Cy4	Nic Fix this is not in cross record						Reared	
PR97	10/11/1999	Heliconius	himera		m		Reared	PR97			himera		cyrbia	father	(CH)Hi5	Male parent of CHHi5; 	himera	himera	NA	NA	Stock	Reared	
PR98	10/11/1999	Heliconius	himera		f		Reared	PR98			himera		himera	mother	HiEt-1	Female parent of HiEt-1	himera	himera	NA	NA	Stock	Reared	
PR99	10/11/1999	Heliconius	erato	cyrbia	f		Reared	PR99					cyrbia	mother	CBr13 or 14							Reared	
PR100 	10/11/1999	Heliconius	himera		m		Reared	PR100 					himera	father3/4 	HBr10;NoHi-1; CyHiB7	Nic FIX which broods and which fathers? probably doesn’t need anything but a note “potential father of <see contents of Old Brood No>”						Reared	
PR101	10/11/1999	Heliconius	erato	etylus	m		Reared	PR101					etylus	father1/2	HiEtB2	Male parent 1/2 of HiEtB2; Nic fix this isn’t in cross record so is it important?						Reared	
PR102	10/11/1999	Heliconius	erato	etylus	m		Reared	PR102					etylus	father2/2	HiEtB2	Male parent 2/2 of HiEtB2;Nic fix this isn’t in cross record so is it important?						Reared	
PR103	10/11/1999	Heliconius	himera		m		Reared	PR103					himera	father4/4 	HBr10;NoHi-1; CyHiB7	Nic FIX which broods and which fathers? probably doesn’t need anything but a note “potential father of <see contents of Old Brood No>”						Reared	
PR104	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR104					cyrbia x himera	mother	(CH)CyHi-1	Nic Fix this is ambiguous						Reared	
PR105	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR105					cyrbia x himera	father	Hi(CH)1							Reared	
PR106	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR106					cyrbia x himera	father	Cy(CH)2							Reared	
PR107	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR107			CyHiB2	?	cyrbia x himera	F1	CyHiB2-?							Reared	
PR108	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR108			CyHiB2	?	cyrbia x himera	F1	CyHiB2-?							Reared	
PR109	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR109			CyHiB2	?	cyrbia x himera	F1	CyHiB2-?							Reared	
PR110	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR110			CyHiB2	?	cyrbia x himera	F1	CyHiB2-?							Reared	
PR111	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR111			CyHiB2	?	cyrbia x himera	F1	CyHiB2-?							Reared	
PR112	10/11/1999	Heliconius	hybrid erato x himera	petiverana x himera	f		Reared	PR112					petiverana x himera	mother	(PH)Pe2							Reared	
PR113	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR113					cyrbia x himera	father	Cy(CH)3							Reared	
PR114	10/11/1999	Heliconius	erato	notabilis	f	emerged badly; Wasn’t sure if wild or reared NIC FIX	Reared	PR114														Reared	
PR115	10/11/1999	Heliconius	hybrid erato x himera	petiverana x himera	f		Reared	PR115					petiverana x himera	mother	(PH)Pe1							Reared	
PR116	10/11/1999	Heliconius	hybrid erato x himera	petiverana x himera	f		Reared	PR116					petiverana x himera	F1	PeHi2-?							Reared	
PR117	10/11/1999	Heliconius	himera		m		Reared	PR117			himera		cyrbia	father	(CH)Hi4	Male parent of CHHi4	himera	himera	NA	NA	Stock	Reared	
PR118	10/11/1999	Heliconius	hybrid erato x himera	petiverana x himera	f		Reared	PR118					petiverana x himera	mother	(PH)Pe-3	wings only						Reared	
PR119	11/26/1999	Heliconius	hybrid erato x himera	etylus x himera	f		Reared	PR119					etylus x himera	F1	EtHiB6							Reared	
PR120	12/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR120					cyrbia x himera	father	Cy(CH)5							Reared	
PR121	11/13/1999	Heliconius	himera		m		Reared	PR121			himera		notabilis	father	NoHi2	Male parent of NoHi2	himera	himera	NA	NA	Stock	Reared	
PR122	11/13/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR122					cyrbia x himera	father	Cy(CH)4							Reared	
PR123	11/16/1999	Heliconius	erato	notabilis	f	Unknown wether or not wild or reared assuming Reared Get WOM or NIC to fix	Reared	PR123														Reared	
PR124	11/15/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR124					cyrbia x himera	father	Hi(CH)3							Reared	
PR125	11/15/1999	Heliconius	erato	etylus	m		Reared	PR125			etylus		etylus	father	HiEt2	Male parent of HiEt2	etylus	etylus	NA	NA	Stock	Reared	
PR126	11/15/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR126					cyrbia x himera	father	Hi(CH)2							Reared	
PR127	11/15/1999	Heliconius	himera		f		Reared	PR127					himera		HBr8	with tumor						Reared	
PR128	11/15/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR128					cyrbia x himera	father	Hi(CH)5							Reared	
PR129	11/15/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR129					cyrbia x himera	father	Hi(CH)4							Reared	
PR130	12/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR130					cyrbia x himera	father1/2	Cy(CH)6							Reared	
PR131	12/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	m		Reared	PR131					cyrbia x himera	father2/2	Cy(CH)6							Reared	
PR132	10/11/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR132					cyrbia x himera	mother	Cy(CH)1							Reared	
PR133	11/16/1999	Heliconius	erato	cyrbia	f		Reared	PR133					cyrbia	mother	CyHiB7	This is the female parent of CyHiB7						Reared	
PR134	11/16/1999	Heliconius	hybrid erato x himera	petiverana x himera	f		Reared	PR134					petiverana x himera	mother	(PHPH)1							Reared	
PR135	11/16/1999	Heliconius	himera		f		Reared	PR135					himera	mother	HBr8/9							Reared	
PR136	11/29/1999	Heliconius	hybrid erato x himera	cyrbia x himera	f		Reared	PR136			CyHiB2		cyrbia x himera	mother	(CH)Hi5	Female parent of CHHi5						Reared	
